Provider type,State/territory of delivery location,Age group,Previous highest education level,Level of education, Year, 2019, 2020, 2021, 2022, 2023
TAFE institutes,New South Wales,15 to 19 years,Year 10,Certificate III,,"15,525","16,040","17,845","21,135","19,930"
TAFE institutes,New South Wales,15 to 19 years,Year 10,Certificate II,,"5,110","6,370","6,880","6,945","5,150"
TAFE institutes,New South Wales,15 to 19 years,Year 10,Certificate I,,650,565,735,265,320
TAFE institutes,New South Wales,15 to 19 years,Year 10,Non-AQF level,,205,260,275,405,285
TAFE institutes,New South Wales,15 to 19 years,Certificate I,Totals,,95,75,95,75,90
TAFE institutes,New South Wales,15 to 19 years,Certificate I,Certificate IV,,-,5,-,-,-
TAFE institutes,New South Wales,15 to 19 years,Certificate I,Certificate III,,30,20,25,35,35
TAFE institutes,New South Wales,15 to 19 years,Certificate I,Certificate II,,25,20,30,20,30
TAFE institutes,New South Wales,15 to 19 years,Certificate I,Certificate I,,40,30,40,15,25
TAFE institutes,New South Wales,15 to 19 years,Certificate I,Non-AQF level,,5,-,-,5,-
TAFE institutes,New South Wales,15 to 19 years,Miscellaneous education,Totals,,265,180,170,190,210
TAFE institutes,New South Wales,15 to 19 years,Miscellaneous education,Diploma,,-,-,5,5,5
TAFE institutes,New South Wales,15 to 19 years,Miscellaneous education,Certificate IV,,5,5,5,10,5
TAFE institutes,New South Wales,15 to 19 years,Miscellaneous education,Certificate III,,190,115,110,110,105
TAFE institutes,New South Wales,15 to 19 years,Miscellaneous education,Certificate II,,50,45,35,45,70
TAFE institutes,New South Wales,15 to 19 years,Miscellaneous education,Certificate I,,10,10,10,5,5
TAFE institutes,New South Wales,15 to 19 years,Miscellaneous education,Non-AQF level,,10,5,10,15,15
TAFE institutes,New South Wales,15 to 19 years,Year 9 or lower,Totals,,"4,990","5,160","5,755","6,335","9,380"
TAFE institutes,New South Wales,15 to 19 years,Year 9 or lower,Diploma,,30,25,25,35,25
TAFE institutes,New South Wales,15 to 19 years,Year 9 or lower,Certificate IV,,160,135,185,165,145
TAFE institutes,New South Wales,15 to 19 years,Year 9 or lower,Certificate III,,"2,305","2,360","2,680","3,360","4,610"
TAFE institutes,New South Wales,15 to 19 years,Year 9 or lower,Certificate II,,"1,850","2,185","2,050","2,080","3,850"
TAFE institutes,New South Wales,15 to 19 years,Year 9 or lower,Certificate I,,535,355,675,550,600
TAFE institutes,New South Wales,15 to 19 years,Year 9 or lower,Non-AQF level,,110,105,135,155,150
TAFE institutes,New South Wales,15 to 19 years,Did not go to school,Totals,,40,45,25,30,35
TAFE institutes,New South Wales,15 to 19 years,Did not go to school,Diploma,,5,-,-,-,-
TAFE institutes,New South Wales,15 to 19 years,Did not go to school,Certificate IV,,-,5,-,-,5
TAFE institutes,New South Wales,15 to 19 years,Did not go to school,Certificate III,,5,10,10,10,10
TAFE institutes,New South Wales,15 to 19 years,Did not go to school,Certificate II,,5,5,10,10,10
TAFE institutes,New South Wales,15 to 19 years,Did not go to school,Certificate I,,10,5,5,5,5
TAFE institutes,New South Wales,15 to 19 years,Did not go to school,Non-AQF level,,15,15,-,5,5
TAFE institutes,New South Wales,15 to 19 years,Not known,Totals,,"1,620",230,325,455,330
TAFE institutes,New South Wales,15 to 19 years,Not known,Advanced diploma,,5,-,-,-,-
TAFE institutes,New South Wales,15 to 19 years,Not known,Diploma,,20,5,5,5,5
TAFE institutes,New South Wales,15 to 19 years,Not known,Certificate IV,,35,5,10,15,25
TAFE institutes,New South Wales,15 to 19 years,Not known,Certificate III,,965,130,235,310,210
TAFE institutes,New South Wales,15 to 19 years,Not known,Certificate II,,505,60,50,55,45
TAFE institutes,New South Wales,15 to 19 years,Not known,Certificate I,,65,10,20,20,25
TAFE institutes,New South Wales,15 to 19 years,Not known,Non-AQF level,,25,15,5,50,20
TAFE institutes,Victoria,Totals,,,,"63,550","58,580","59,225","57,040","53,840"
TAFE institutes,Victoria,15 to 19 years,Totals,,,"63,550","58,580","59,225","57,040","53,840"
TAFE institutes,Victoria,15 to 19 years,Bachelor degree / Higher degree level,Totals,,20,15,15,20,40
TAFE institutes,Victoria,15 to 19 years,Bachelor degree / Higher degree level,Diploma,,5,5,-,5,5
TAFE institutes,Victoria,15 to 19 years,Bachelor degree / Higher degree level,Certificate IV,,5,5,5,5,-
TAFE institutes,Victoria,15 to 19 years,Bachelor degree / Higher degree level,Certificate III,,10,5,5,10,20
TAFE institutes,Victoria,15 to 19 years,Bachelor degree / Higher degree level,Certificate II,,-,-,-,5,10
TAFE institutes,Victoria,15 to 19 years,Advanced diploma / Associate degree,Totals,,10,5,10,5,10
TAFE institutes,Victoria,15 to 19 years,Advanced diploma / Associate degree,Advanced diploma,,5,-,5,-,-
TAFE institutes,Victoria,15 to 19 years,Advanced diploma / Associate degree,Certificate IV,,-,-,-,5,-
TAFE institutes,Victoria,15 to 19 years,Diploma,Totals,,145,115,90,65,60
TAFE institutes,Victoria,15 to 19 years,Diploma,Advanced diploma,,20,20,15,5,5
TAFE institutes,Victoria,15 to 19 years,Diploma,Diploma,,65,50,40,25,20
TAFE institutes,Victoria,15 to 19 years,Diploma,Certificate IV,,20,20,10,15,5
TAFE institutes,Victoria,15 to 19 years,Diploma,Certificate III,,25,15,15,20,25
TAFE institutes,Victoria,15 to 19 years,Diploma,Certificate II,,10,10,10,5,5
TAFE institutes,Victoria,15 to 19 years,Certificate IV,Totals,,425,340,255,210,175
TAFE institutes,Victoria,15 to 19 years,Certificate IV,Advanced diploma,,20,20,15,10,10
TAFE institutes,Victoria,15 to 19 years,Certificate IV,Diploma,,135,125,80,60,45
TAFE institutes,Victoria,15 to 19 years,Certificate IV,Certificate IV,,160,110,80,65,55
TAFE institutes,Victoria,15 to 19 years,Certificate IV,Certificate III,,80,55,60,50,50
TAFE institutes,Victoria,15 to 19 years,Certificate IV,Certificate II,,25,25,20,20,10
TAFE institutes,Victoria,15 to 19 years,Certificate IV,Non-AQF level,,-,5,5,-,5
TAFE institutes,Victoria,15 to 19 years,Certificate III,Totals,,"1,960","1,830","2,025","1,745","1,610"
TAFE institutes,Victoria,15 to 19 years,Certificate III,Advanced diploma,,10,10,10,5,5
TAFE institutes,Victoria,15 to 19 years,Certificate III,Diploma,,390,415,390,335,305
TAFE institutes,Victoria,15 to 19 years,Certificate III,Certificate IV,,420,320,340,275,265
TAFE institutes,Victoria,15 to 19 years,Certificate III,Certificate III,,925,865,"1,050",970,895
TAFE institutes,Victoria,15 to 19 years,Certificate III,Certificate II,,210,195,210,135,110
TAFE institutes,Victoria,15 to 19 years,Certificate III,Certificate I,,10,5,10,10,15
TAFE institutes,Victoria,15 to 19 years,Certificate III,Non-AQF level,,-,15,10,15,15
TAFE institutes,Victoria,15 to 19 years,Year 12,Totals,,"16,285","14,805","15,155","14,015","13,365"
TAFE institutes,Victoria,15 to 19 years,Year 12,Advanced diploma,,130,95,80,65,55
TAFE institutes,Victoria,15 to 19 years,Year 12,Diploma,,"1,610","1,400","1,315","1,085","1,050"
TAFE institutes,Victoria,15 to 19 years,Year 12,Certificate IV,,"1,505","1,250","1,090","1,015",985
TAFE institutes,Victoria,15 to 19 years,Year 12,Certificate III,,"7,695","7,055","7,525","7,320","6,975"
TAFE institutes,Victoria,15 to 19 years,Year 12,Certificate II,,"5,015","4,570","4,705","3,915","3,705"
TAFE institutes,Victoria,15 to 19 years,Year 12,Certificate I,,280,280,245,255,255
TAFE institutes,Victoria,15 to 19 years,Year 12,Non-AQF level,,50,155,195,355,340
TAFE institutes,Victoria,15 to 19 years,Year 11,Totals,,"17,770","18,230","17,545","16,595","14,670"
TAFE institutes,Victoria,15 to 19 years,Year 11,Advanced diploma,,15,10,10,10,10
TAFE institutes,Victoria,15 to 19 years,Year 11,Diploma,,205,265,235,195,240
TAFE institutes,Victoria,15 to 19 years,Year 11,Certificate IV,,370,345,375,340,295
TAFE institutes,Victoria,15 to 19 years,Year 11,Certificate III,,"7,505","7,845","7,950","8,290","7,570"
TAFE institutes,Victoria,15 to 19 years,Year 11,Certificate II,,"9,400","9,375","8,740","7,390","6,175"
TAFE institutes,Victoria,15 to 19 years,Year 11,Certificate I,,255,320,150,180,180
TAFE institutes,Victoria,15 to 19 years,Year 11,Non-AQF level,,25,65,85,190,205
TAFE institutes,Victoria,15 to 19 years,Certificate II,Totals,,"1,190",970,"1,140","1,165","1,080"
TAFE institutes,Victoria,15 to 19 years,Certificate II,Diploma,,15,15,5,5,10
TAFE institutes,Victoria,15 to 19 years,Certificate II,Certificate IV,,65,35,30,20,45
TAFE institutes,Victoria,15 to 19 years,Certificate II,Certificate III,,695,590,770,895,810
TAFE institutes,Victoria,15 to 19 years,Certificate II,Certificate II,,390,325,315,230,215
TAFE institutes,Victoria,15 to 19 years,Certificate II,Certificate I,,20,5,10,10,5
TAFE institutes,Victoria,15 to 19 years,Certificate II,Non-AQF level,,5,5,5,5,5
TAFE institutes,Victoria,15 to 19 years,Year 10,Totals,,"17,465","15,775","16,155","15,630","14,605"
TAFE institutes,Victoria,15 to 19 years,Year 10,Advanced diploma,,5,5,5,-,5
TAFE institutes,Victoria,15 to 19 years,Year 10,Diploma,,115,125,110,85,105
TAFE institutes,Victoria,15 to 19 years,Year 10,Certificate IV,,305,220,195,195,200
TAFE institutes,Victoria,15 to 19 years,Year 10,Certificate III,,"6,610","6,780","7,105","8,065","8,045"
TAFE institutes,Victoria,15 to 19 years,Year 10,Certificate II,,"9,610","8,000","8,325","6,845","5,875"
