Provider type,State/territory of delivery location,Age group,Previous highest education level,Level of education, Year, 2019, 2020, 2021, 2022, 2023
TAFE institutes,Offshore,15 to 19 years,Year 10,Certificate IV,,-,-,10,10,-
TAFE institutes,Offshore,15 to 19 years,Year 10,Certificate III,,90,5,25,25,10
TAFE institutes,Offshore,15 to 19 years,Year 10,Certificate II,,-,-,20,10,-
TAFE institutes,Offshore,15 to 19 years,Year 10,Non-AQF level,,30,-,-,-,-
TAFE institutes,Offshore,15 to 19 years,Year 9 or lower,Totals,,790,405,970,770,495
TAFE institutes,Offshore,15 to 19 years,Year 9 or lower,Advanced diploma,,5,55,25,245,95
TAFE institutes,Offshore,15 to 19 years,Year 9 or lower,Diploma,,10,5,65,105,110
TAFE institutes,Offshore,15 to 19 years,Year 9 or lower,Certificate III,,185,95,480,345,165
TAFE institutes,Offshore,15 to 19 years,Year 9 or lower,Certificate II,,165,80,245,10,-
TAFE institutes,Offshore,15 to 19 years,Year 9 or lower,Certificate I,,310,170,155,-,-
TAFE institutes,Offshore,15 to 19 years,Year 9 or lower,Non-AQF level,,115,-,-,70,125
TAFE institutes,Offshore,15 to 19 years,Did not go to school,Totals,,200,570,460,525,335
TAFE institutes,Offshore,15 to 19 years,Did not go to school,Advanced diploma,,10,-,5,-,-
TAFE institutes,Offshore,15 to 19 years,Did not go to school,Certificate IV,,20,25,10,-,-
TAFE institutes,Offshore,15 to 19 years,Did not go to school,Certificate III,,-,20,5,-,-
TAFE institutes,Offshore,15 to 19 years,Did not go to school,Certificate II,,170,525,440,520,335
TAFE institutes,Offshore,15 to 19 years,Not known,Totals,,"4,730","3,340","5,485","5,265","5,075"
TAFE institutes,Offshore,15 to 19 years,Not known,Advanced diploma,,425,190,385,460,420
TAFE institutes,Offshore,15 to 19 years,Not known,Diploma,,"2,650","1,980","4,075","3,565","2,955"
TAFE institutes,Offshore,15 to 19 years,Not known,Certificate IV,,845,555,605,550,620
TAFE institutes,Offshore,15 to 19 years,Not known,Certificate III,,730,510,190,480,765
TAFE institutes,Offshore,15 to 19 years,Not known,Certificate II,,70,35,85,80,110
TAFE institutes,Offshore,15 to 19 years,Not known,Certificate I,,5,-,15,55,160
TAFE institutes,Offshore,15 to 19 years,Not known,Non-AQF level,,5,75,125,75,50
TAFE institutes,Not known,Totals,,,,20,-,-,15,10
TAFE institutes,Not known,15 to 19 years,Totals,,,20,-,-,15,10
TAFE institutes,Not known,15 to 19 years,Year 12,Totals,,5,-,-,10,-
TAFE institutes,Not known,15 to 19 years,Year 12,Diploma,,-,-,-,5,-
TAFE institutes,Not known,15 to 19 years,Year 12,Certificate IV,,5,-,-,-,-
TAFE institutes,Not known,15 to 19 years,Not known,Totals,,20,-,-,-,5
TAFE institutes,Not known,15 to 19 years,Not known,Advanced diploma,,10,-,-,-,5
TAFE institutes,Not known,15 to 19 years,Not known,Diploma,,10,-,-,-,-
Universities,Totals,,,,,"21,105","20,835","21,425","19,310","20,450"
Universities,New South Wales,Totals,,,,25,35,20,20,25
Universities,New South Wales,15 to 19 years,Totals,,,25,35,20,20,25
Universities,New South Wales,15 to 19 years,Year 12,Totals,,20,20,5,5,-
Universities,New South Wales,15 to 19 years,Year 12,Diploma,,-,15,5,5,-
Universities,New South Wales,15 to 19 years,Year 12,Certificate IV,,15,5,-,-,-
Universities,New South Wales,15 to 19 years,Year 11,Totals,,5,5,5,5,5
Universities,New South Wales,15 to 19 years,Year 11,Certificate IV,,5,-,-,-,-
Universities,New South Wales,15 to 19 years,Year 11,Certificate III,,-,-,5,5,5
Universities,New South Wales,15 to 19 years,Year 10,Totals,,-,15,10,5,15
Universities,New South Wales,15 to 19 years,Year 10,Certificate III,,-,15,10,5,15
Universities,New South Wales,15 to 19 years,Year 9 or lower,Totals,,-,-,-,-,5
Universities,New South Wales,15 to 19 years,Year 9 or lower,Certificate III,,-,-,-,-,5
Universities,New South Wales,15 to 19 years,Not known,Totals,,-,-,-,5,-
Universities,Victoria,Totals,,,,"14,870","14,450","14,470","13,255","14,525"
Universities,Victoria,15 to 19 years,Totals,,,"14,870","14,450","14,470","13,255","14,525"
Universities,Victoria,15 to 19 years,Bachelor degree / Higher degree level,Totals,,5,5,5,10,20
Universities,Victoria,15 to 19 years,Bachelor degree / Higher degree level,Advanced diploma,,-,-,-,-,5
Universities,Victoria,15 to 19 years,Bachelor degree / Higher degree level,Diploma,,-,-,-,5,5
Universities,Victoria,15 to 19 years,Bachelor degree / Higher degree level,Certificate IV,,-,-,-,5,-
Universities,Victoria,15 to 19 years,Bachelor degree / Higher degree level,Certificate III,,-,-,-,-,5
Universities,Victoria,15 to 19 years,Advanced diploma / Associate degree,Totals,,60,50,30,45,40
Universities,Victoria,15 to 19 years,Advanced diploma / Associate degree,Advanced diploma,,55,40,25,40,35
Universities,Victoria,15 to 19 years,Advanced diploma / Associate degree,Diploma,,5,5,-,5,5
Universities,Victoria,15 to 19 years,Diploma,Totals,,445,275,305,195,295
Universities,Victoria,15 to 19 years,Diploma,Advanced diploma,,55,45,45,15,20
Universities,Victoria,15 to 19 years,Diploma,Diploma,,350,205,245,170,265
Universities,Victoria,15 to 19 years,Diploma,Certificate IV,,25,20,10,10,10
Universities,Victoria,15 to 19 years,Diploma,Certificate III,,5,5,5,-,-
Universities,Victoria,15 to 19 years,Diploma,Certificate II,,5,-,-,-,-
Universities,Victoria,15 to 19 years,Certificate IV,Totals,,285,275,195,255,405
Universities,Victoria,15 to 19 years,Certificate IV,Advanced diploma,,20,20,20,15,25
Universities,Victoria,15 to 19 years,Certificate IV,Diploma,,85,105,85,60,115
Universities,Victoria,15 to 19 years,Certificate IV,Certificate IV,,165,135,85,165,255
Universities,Victoria,15 to 19 years,Certificate IV,Certificate III,,15,10,5,10,5
Universities,Victoria,15 to 19 years,Certificate IV,Certificate II,,5,5,-,-,-
Universities,Victoria,15 to 19 years,Certificate III,Totals,,630,595,410,325,380
Universities,Victoria,15 to 19 years,Certificate III,Advanced diploma,,40,30,30,25,30
Universities,Victoria,15 to 19 years,Certificate III,Diploma,,255,275,195,145,160
Universities,Victoria,15 to 19 years,Certificate III,Certificate IV,,160,140,105,95,100
Universities,Victoria,15 to 19 years,Certificate III,Certificate III,,150,125,75,55,65
Universities,Victoria,15 to 19 years,Certificate III,Certificate II,,25,20,5,5,20
Universities,Victoria,15 to 19 years,Certificate III,Certificate I,,-,5,-,-,-
Universities,Victoria,15 to 19 years,Year 12,Totals,,"6,105","6,060","5,485","5,560","6,230"
Universities,Victoria,15 to 19 years,Year 12,Advanced diploma,,800,680,625,615,675
Universities,Victoria,15 to 19 years,Year 12,Diploma,,"2,255","2,395","2,260","2,035","2,590"
Universities,Victoria,15 to 19 years,Year 12,Certificate IV,,910,745,600,900,900
Universities,Victoria,15 to 19 years,Year 12,Certificate III,,"1,265","1,350","1,315","1,310","1,210"
Universities,Victoria,15 to 19 years,Year 12,Certificate II,,800,835,615,615,780
Universities,Victoria,15 to 19 years,Year 12,Certificate I,,70,50,45,45,50
Universities,Victoria,15 to 19 years,Year 12,Non-AQF level,,-,10,20,35,20
Universities,Victoria,15 to 19 years,Year 11,Totals,,"2,615","2,580","2,605","2,430","2,530"
Universities,Victoria,15 to 19 years,Year 11,Advanced diploma,,55,25,10,10,20
Universities,Victoria,15 to 19 years,Year 11,Diploma,,155,155,130,110,150
Universities,Victoria,15 to 19 years,Year 11,Certificate IV,,200,165,170,225,285
Universities,Victoria,15 to 19 years,Year 11,Certificate III,,"1,090","1,120","1,300","1,025","1,060"
Universities,Victoria,15 to 19 years,Year 11,Certificate II,,"1,090","1,110",980,"1,035","1,005"
Universities,Victoria,15 to 19 years,Year 11,Certificate I,,25,5,10,15,10
Universities,Victoria,15 to 19 years,Year 11,Non-AQF level,,-,-,-,5,5
Universities,Victoria,15 to 19 years,Certificate II,Totals,,155,140,115,80,70
Universities,Victoria,15 to 19 years,Certificate II,Advanced diploma,,-,-,-,5,-
Universities,Victoria,15 to 19 years,Certificate II,Diploma,,-,5,5,-,5
Universities,Victoria,15 to 19 years,Certificate II,Certificate IV,,15,15,10,10,5
Universities,Victoria,15 to 19 years,Certificate II,Certificate III,,105,105,85,55,55
Universities,Victoria,15 to 19 years,Certificate II,Certificate II,,30,20,10,10,10
Universities,Victoria,15 to 19 years,Year 10,Totals,,"2,425","2,610","2,955","2,550","2,705"
Universities,Victoria,15 to 19 years,Year 10,Advanced diploma,,5,5,5,5,5
Universities,Victoria,15 to 19 years,Year 10,Diploma,,75,70,55,60,60
Universities,Victoria,15 to 19 years,Year 10,Certificate IV,,120,100,90,125,165
Universities,Victoria,15 to 19 years,Year 10,Certificate III,,"1,095","1,330","1,665","1,135","1,220"
Universities,Victoria,15 to 19 years,Year 10,Certificate II,,"1,085","1,060","1,100","1,190","1,235"
Universities,Victoria,15 to 19 years,Year 10,Certificate I,,40,40,40,20,15
Universities,Victoria,15 to 19 years,Year 10,Non-AQF level,,-,-,-,10,-
Universities,Victoria,15 to 19 years,Certificate I,Totals,,10,15,5,-,-
Universities,Victoria,15 to 19 years,Certificate I,Certificate II,,5,10,-,-,-
Universities,Victoria,15 to 19 years,Certificate I,Certificate I,,-,5,-,-,-
Universities,Victoria,15 to 19 years,Miscellaneous education,Totals,,15,20,15,15,10
Universities,Victoria,15 to 19 years,Miscellaneous education,Diploma,,-,-,-,5,-
Universities,Victoria,15 to 19 years,Miscellaneous education,Certificate IV,,-,5,5,5,10
Universities,Victoria,15 to 19 years,Miscellaneous education,Certificate III,,10,10,5,-,-
Universities,Victoria,15 to 19 years,Miscellaneous education,Certificate II,,-,5,5,-,-
Universities,Victoria,15 to 19 years,Miscellaneous education,Certificate I,,5,-,-,-,-
Universities,Victoria,15 to 19 years,Year 9 or lower,Totals,,775,790,910,875,930
Universities,Victoria,15 to 19 years,Year 9 or lower,Advanced diploma,,10,5,-,-,-
Universities,Victoria,15 to 19 years,Year 9 or lower,Diploma,,5,10,10,5,5
Universities,Victoria,15 to 19 years,Year 9 or lower,Certificate IV,,20,10,10,15,15
Universities,Victoria,15 to 19 years,Year 9 or lower,Certificate III,,315,335,425,330,375
Universities,Victoria,15 to 19 years,Year 9 or lower,Certificate II,,385,415,445,510,505
Universities,Victoria,15 to 19 years,Year 9 or lower,Certificate I,,35,20,15,10,20
Universities,Victoria,15 to 19 years,Year 9 or lower,Non-AQF level,,10,-,-,5,5
Universities,Victoria,15 to 19 years,Did not go to school,Totals,,25,10,10,10,10
Universities,Victoria,15 to 19 years,Did not go to school,Certificate IV,,5,-,5,-,-
Universities,Victoria,15 to 19 years,Did not go to school,Certificate III,,5,-,-,5,5
Universities,Victoria,15 to 19 years,Did not go to school,Certificate II,,10,-,-,5,-
Universities,Victoria,15 to 19 years,Did not go to school,Certificate I,,5,-,-,-,5
Universities,Victoria,15 to 19 years,Did not go to school,Non-AQF level,,-,-,5,-,-
Universities,Victoria,15 to 19 years,Not known,Totals,,"1,320","1,035","1,435",905,895
Universities,Victoria,15 to 19 years,Not known,Advanced diploma,,125,90,20,35,15
Universities,Victoria,15 to 19 years,Not known,Diploma,,310,255,105,150,85
Universities,Victoria,15 to 19 years,Not known,Certificate IV,,110,110,410,90,115
Universities,Victoria,15 to 19 years,Not known,Certificate III,,565,485,755,620,555
Universities,Victoria,15 to 19 years,Not known,Certificate II,,205,95,145,5,125
Universities,Victoria,15 to 19 years,Not known,Certificate I,,-,-,5,-,-
Universities,Victoria,15 to 19 years,Not known,Non-AQF level,,-,5,-,10,-
Universities,Queensland,Totals,,,,"3,720","4,025","4,555","3,725","3,675"
Universities,Queensland,15 to 19 years,Totals,,,"3,720","4,025","4,555","3,725","3,675"
Universities,Queensland,15 to 19 years,Diploma,Totals,,15,15,45,45,15
Universities,Queensland,15 to 19 years,Diploma,Diploma,,5,10,35,35,10
Universities,Queensland,15 to 19 years,Diploma,Certificate IV,,5,-,-,-,-
Universities,Queensland,15 to 19 years,Diploma,Certificate III,,5,5,10,10,5
Universities,Queensland,15 to 19 years,Diploma,Certificate II,,-,-,-,5,-
Universities,Queensland,15 to 19 years,Certificate IV,Totals,,5,5,10,15,15
Universities,Queensland,15 to 19 years,Certificate IV,Diploma,,-,-,5,5,5
Universities,Queensland,15 to 19 years,Certificate IV,Certificate IV,,-,5,5,5,5
Universities,Queensland,15 to 19 years,Certificate IV,Certificate III,,-,-,-,5,5
Universities,Queensland,15 to 19 years,Certificate III,Totals,,180,255,310,255,240
Universities,Queensland,15 to 19 years,Certificate III,Diploma,,35,50,40,20,35
Universities,Queensland,15 to 19 years,Certificate III,Certificate IV,,15,30,25,30,35
Universities,Queensland,15 to 19 years,Certificate III,Certificate III,,105,140,180,150,110
Universities,Queensland,15 to 19 years,Certificate III,Certificate II,,15,25,40,35,35
Universities,Queensland,15 to 19 years,Certificate III,Certificate I,,-,5,5,10,15
Universities,Queensland,15 to 19 years,Certificate III,Non-AQF level,,10,5,15,10,10
Universities,Queensland,15 to 19 years,Year 12,Totals,,"1,450","1,350","1,210",860,845
Universities,Queensland,15 to 19 years,Year 12,Diploma,,115,80,75,55,55
Universities,Queensland,15 to 19 years,Year 12,Certificate IV,,85,75,55,50,55
Universities,Queensland,15 to 19 years,Year 12,Certificate III,,"1,135","1,035",930,605,590
Universities,Queensland,15 to 19 years,Year 12,Certificate II,,80,125,100,85,90
Universities,Queensland,15 to 19 years,Year 12,Certificate I,,15,25,35,45,40
Universities,Queensland,15 to 19 years,Year 12,Non-AQF level,,15,10,20,20,10
Universities,Queensland,15 to 19 years,Year 11,Totals,,515,610,655,470,475
Universities,Queensland,15 to 19 years,Year 11,Diploma,,15,20,15,5,5
Universities,Queensland,15 to 19 years,Year 11,Certificate IV,,20,25,20,15,25
Universities,Queensland,15 to 19 years,Year 11,Certificate III,,190,230,225,175,205
Universities,Queensland,15 to 19 years,Year 11,Certificate II,,135,260,270,215,195
Universities,Queensland,15 to 19 years,Year 11,Certificate I,,25,25,25,30,20
Universities,Queensland,15 to 19 years,Year 11,Non-AQF level,,135,50,100,25,25
Universities,Queensland,15 to 19 years,Certificate II,Totals,,60,80,205,210,205
Universities,Queensland,15 to 19 years,Certificate II,Diploma,,5,-,30,-,5
Universities,Queensland,15 to 19 years,Certificate II,Certificate IV,,5,5,5,10,10
Universities,Queensland,15 to 19 years,Certificate II,Certificate III,,20,30,40,40,60
Universities,Queensland,15 to 19 years,Certificate II,Certificate II,,30,30,115,140,130
Universities,Queensland,15 to 19 years,Certificate II,Certificate I,,-,10,10,10,-
Universities,Queensland,15 to 19 years,Certificate II,Non-AQF level,,5,10,10,10,5
Universities,Queensland,15 to 19 years,Year 10,Totals,,"1,060","1,200","1,375","1,235","1,230"
Universities,Queensland,15 to 19 years,Year 10,Diploma,,20,25,30,10,10
Universities,Queensland,15 to 19 years,Year 10,Certificate IV,,20,20,40,35,45
Universities,Queensland,15 to 19 years,Year 10,Certificate III,,325,390,420,415,470
Universities,Queensland,15 to 19 years,Year 10,Certificate II,,560,650,720,635,600
Universities,Queensland,15 to 19 years,Year 10,Certificate I,,50,65,75,60,55
Universities,Queensland,15 to 19 years,Year 10,Non-AQF level,,80,50,95,75,45
Universities,Queensland,15 to 19 years,Certificate I,Totals,,5,10,15,15,10
Universities,Queensland,15 to 19 years,Certificate I,Certificate III,,-,-,5,5,-
Universities,Queensland,15 to 19 years,Certificate I,Certificate II,,-,5,10,10,5
Universities,Queensland,15 to 19 years,Certificate I,Non-AQF level,,5,5,-,-,-
Universities,Queensland,15 to 19 years,Miscellaneous education,Totals,,5,5,5,-,5
Universities,Queensland,15 to 19 years,Year 9 or lower,Totals,,310,355,590,510,555
Universities,Queensland,15 to 19 years,Year 9 or lower,Diploma,,5,-,-,-,-
Universities,Queensland,15 to 19 years,Year 9 or lower,Certificate IV,,-,5,5,5,5
Universities,Queensland,15 to 19 years,Year 9 or lower,Certificate III,,90,100,110,140,150
Universities,Queensland,15 to 19 years,Year 9 or lower,Certificate II,,155,155,265,325,365
Universities,Queensland,15 to 19 years,Year 9 or lower,Certificate I,,20,50,100,15,20
Universities,Queensland,15 to 19 years,Year 9 or lower,Non-AQF level,,35,40,100,20,15
Universities,Queensland,15 to 19 years,Not known,Totals,,120,130,130,110,80
Universities,Queensland,15 to 19 years,Not known,Diploma,,5,-,-,-,-
Universities,Queensland,15 to 19 years,Not known,Certificate IV,,5,-,5,5,5
Universities,Queensland,15 to 19 years,Not known,Certificate III,,45,15,25,25,20
Universities,Queensland,15 to 19 years,Not known,Certificate II,,40,55,70,70,45
Universities,Queensland,15 to 19 years,Not known,Certificate I,,15,10,15,5,5
Universities,Queensland,15 to 19 years,Not known,Non-AQF level,,10,45,15,5,-
Universities,South Australia,Totals,,,,10,15,10,5,10
Universities,South Australia,15 to 19 years,Totals,,,10,15,10,5,10
Universities,South Australia,15 to 19 years,Year 12,Totals,,5,-,-,-,-
Universities,South Australia,15 to 19 years,Year 12,Diploma,,5,-,-,-,-
Universities,South Australia,15 to 19 years,Not known,Totals,,5,15,10,5,5
Universities,South Australia,15 to 19 years,Not known,Certificate II,,-,10,10,5,5
Universities,Western Australia,Totals,,,,245,320,325,320,340
Universities,Western Australia,15 to 19 years,Totals,,,245,320,325,320,340
Universities,Western Australia,15 to 19 years,Diploma,Totals,,55,75,60,60,70
Universities,Western Australia,15 to 19 years,Diploma,Advanced diploma,,30,35,30,35,30
Universities,Western Australia,15 to 19 years,Diploma,Diploma,,25,35,30,25,40
Universities,Western Australia,15 to 19 years,Certificate IV,Totals,,5,15,20,20,30
Universities,Western Australia,15 to 19 years,Certificate IV,Diploma,,5,10,20,15,20
Universities,Western Australia,15 to 19 years,Certificate IV,Certificate IV,,-,-,5,5,5
Universities,Western Australia,15 to 19 years,Certificate III,Totals,,40,40,30,35,40
Universities,Western Australia,15 to 19 years,Certificate III,Advanced diploma,,5,10,-,-,5
Universities,Western Australia,15 to 19 years,Certificate III,Diploma,,30,35,25,30,35
Universities,Western Australia,15 to 19 years,Certificate III,Certificate IV,,5,-,5,-,-
Universities,Western Australia,15 to 19 years,Year 12,Totals,,115,155,150,115,110
Universities,Western Australia,15 to 19 years,Year 12,Advanced diploma,,10,10,10,10,5
Universities,Western Australia,15 to 19 years,Year 12,Diploma,,95,130,125,80,90
Universities,Western Australia,15 to 19 years,Year 12,Certificate IV,,5,10,5,5,5
Universities,Western Australia,15 to 19 years,Year 12,Certificate III,,-,-,-,10,-
Universities,Western Australia,15 to 19 years,Year 12,Certificate II,,-,-,5,15,10
Universities,Western Australia,15 to 19 years,Year 12,Non-AQF level,,-,5,5,-,-
Universities,Western Australia,15 to 19 years,Year 11,Totals,,15,5,25,30,35
Universities,Western Australia,15 to 19 years,Year 11,Diploma,,5,5,10,10,10
Universities,Western Australia,15 to 19 years,Year 11,Certificate IV,,-,-,10,20,25
Universities,Western Australia,15 to 19 years,Year 11,Certificate II,,5,-,-,-,-
Universities,Western Australia,15 to 19 years,Certificate II,Totals,,-,-,-,5,-
Universities,Western Australia,15 to 19 years,Year 10,Totals,,10,25,35,50,50
Universities,Western Australia,15 to 19 years,Year 10,Diploma,,-,-,5,5,-
Universities,Western Australia,15 to 19 years,Year 10,Certificate IV,,-,20,25,35,45
Universities,Western Australia,15 to 19 years,Year 10,Certificate II,,5,-,-,5,-
Universities,Western Australia,15 to 19 years,Miscellaneous education,Totals,,5,5,-,-,-
Universities,Western Australia,15 to 19 years,Miscellaneous education,Certificate II,,5,-,-,-,-
Universities,Tasmania,Totals,,,,70,50,70,60,60
Universities,Tasmania,15 to 19 years,Totals,,,70,50,70,60,60
Universities,Tasmania,15 to 19 years,Diploma,Totals,,-,5,-,-,-
Universities,Tasmania,15 to 19 years,Certificate IV,Totals,,-,5,-,-,-
Universities,Tasmania,15 to 19 years,Certificate III,Totals,,-,5,-,5,5
Universities,Tasmania,15 to 19 years,Certificate III,Certificate III,,-,-,-,-,5
Universities,Tasmania,15 to 19 years,Year 12,Totals,,5,5,25,20,30
Universities,Tasmania,15 to 19 years,Year 12,Certificate III,,5,-,5,5,5
Universities,Tasmania,15 to 19 years,Year 12,Certificate II,,-,-,5,-,-
Universities,Tasmania,15 to 19 years,Year 12,Certificate I,,-,-,-,5,15
Universities,Tasmania,15 to 19 years,Year 12,Non-AQF level,,-,5,15,10,10
Universities,Tasmania,15 to 19 years,Year 11,Totals,,15,10,5,15,15
Universities,Tasmania,15 to 19 years,Year 11,Certificate III,,-,-,-,-,5
Universities,Tasmania,15 to 19 years,Year 11,Certificate II,,5,-,-,-,-
Universities,Tasmania,15 to 19 years,Year 11,Non-AQF level,,5,10,5,15,10
Universities,Tasmania,15 to 19 years,Year 10,Totals,,15,15,20,10,5
Universities,Tasmania,15 to 19 years,Year 10,Certificate III,,-,-,5,5,-
Universities,Tasmania,15 to 19 years,Year 10,Certificate II,,-,-,5,-,-
Universities,Tasmania,15 to 19 years,Year 10,Non-AQF level,,10,15,10,5,5
Universities,Tasmania,15 to 19 years,Miscellaneous education,Totals,,-,-,-,5,-
Universities,Tasmania,15 to 19 years,Year 9 or lower,Totals,,-,-,5,5,5
Universities,Tasmania,15 to 19 years,Year 9 or lower,Non-AQF level,,-,-,5,5,-
Universities,Tasmania,15 to 19 years,Not known,Totals,,30,15,10,-,5
Universities,Tasmania,15 to 19 years,Not known,Diploma,,25,10,-,-,-
Universities,Tasmania,15 to 19 years,Not known,Certificate II,,-,-,10,-,-
Universities,Tasmania,15 to 19 years,Not known,Non-AQF level,,5,5,-,-,-
Universities,Northern Territory,Totals,,,,"2,115","1,860","1,900","1,915","1,820"
Universities,Northern Territory,15 to 19 years,Totals,,,"2,115","1,860","1,900","1,915","1,820"
Universities,Northern Territory,15 to 19 years,Diploma,Totals,,5,5,5,5,5
Universities,Northern Territory,15 to 19 years,Diploma,Certificate III,,-,-,5,5,5
Universities,Northern Territory,15 to 19 years,Diploma,Certificate II,,5,-,-,5,-
Universities,Northern Territory,15 to 19 years,Certificate IV,Totals,,5,5,10,10,10
Universities,Northern Territory,15 to 19 years,Certificate IV,Diploma,,-,-,-,5,-
Universities,Northern Territory,15 to 19 years,Certificate IV,Certificate IV,,-,5,-,5,-
Universities,Northern Territory,15 to 19 years,Certificate IV,Certificate III,,5,-,5,5,5
Universities,Northern Territory,15 to 19 years,Certificate III,Totals,,105,90,85,125,110
Universities,Northern Territory,15 to 19 years,Certificate III,Diploma,,5,5,5,10,5
Universities,Northern Territory,15 to 19 years,Certificate III,Certificate IV,,25,10,5,15,15
Universities,Northern Territory,15 to 19 years,Certificate III,Certificate III,,65,60,55,75,75
Universities,Northern Territory,15 to 19 years,Certificate III,Certificate II,,10,10,10,20,10
Universities,Northern Territory,15 to 19 years,Certificate III,Certificate I,,-,-,-,5,-
Universities,Northern Territory,15 to 19 years,Certificate III,Non-AQF level,,-,-,-,5,-
Universities,Northern Territory,15 to 19 years,Year 12,Totals,,365,315,350,400,365
Universities,Northern Territory,15 to 19 years,Year 12,Diploma,,5,5,5,5,-
Universities,Northern Territory,15 to 19 years,Year 12,Certificate IV,,30,20,20,20,40
Universities,Northern Territory,15 to 19 years,Year 12,Certificate III,,210,200,235,290,230
Universities,Northern Territory,15 to 19 years,Year 12,Certificate II,,105,70,75,80,70
Universities,Northern Territory,15 to 19 years,Year 12,Certificate I,,15,10,5,-,5
Universities,Northern Territory,15 to 19 years,Year 12,Non-AQF level,,-,15,10,5,15
Universities,Northern Territory,15 to 19 years,Year 11,Totals,,430,380,365,400,395
Universities,Northern Territory,15 to 19 years,Year 11,Diploma,,5,5,-,-,-
Universities,Northern Territory,15 to 19 years,Year 11,Certificate IV,,10,10,10,5,5
Universities,Northern Territory,15 to 19 years,Year 11,Certificate III,,240,235,225,300,265
Universities,Northern Territory,15 to 19 years,Year 11,Certificate II,,145,110,100,75,90
Universities,Northern Territory,15 to 19 years,Year 11,Certificate I,,35,20,25,20,25
Universities,Northern Territory,15 to 19 years,Year 11,Non-AQF level,,-,-,5,5,10
Universities,Northern Territory,15 to 19 years,Certificate II,Totals,,110,65,55,80,85
Universities,Northern Territory,15 to 19 years,Certificate II,Certificate IV,,-,-,5,5,5
Universities,Northern Territory,15 to 19 years,Certificate II,Certificate III,,90,45,35,55,55
Universities,Northern Territory,15 to 19 years,Certificate II,Certificate II,,15,15,10,15,20
Universities,Northern Territory,15 to 19 years,Certificate II,Certificate I,,5,5,-,5,5
Universities,Northern Territory,15 to 19 years,Year 10,Totals,,540,555,535,470,485
Universities,Northern Territory,15 to 19 years,Year 10,Certificate IV,,5,5,5,-,-
Universities,Northern Territory,15 to 19 years,Year 10,Certificate III,,210,275,295,275,265
Universities,Northern Territory,15 to 19 years,Year 10,Certificate II,,240,210,205,155,170
Universities,Northern Territory,15 to 19 years,Year 10,Certificate I,,85,60,35,40,35
Universities,Northern Territory,15 to 19 years,Year 10,Non-AQF level,,-,-,-,-,10
Universities,Northern Territory,15 to 19 years,Certificate I,Totals,,55,45,40,30,35
Universities,Northern Territory,15 to 19 years,Certificate I,Certificate III,,5,5,5,5,5
Universities,Northern Territory,15 to 19 years,Certificate I,Certificate II,,40,35,25,15,25
Universities,Northern Territory,15 to 19 years,Certificate I,Certificate I,,15,5,5,10,5
Universities,Northern Territory,15 to 19 years,Miscellaneous education,Totals,,60,40,90,20,5
Universities,Northern Territory,15 to 19 years,Miscellaneous education,Certificate III,,5,-,5,5,-
Universities,Northern Territory,15 to 19 years,Miscellaneous education,Certificate II,,45,35,85,20,-
Universities,Northern Territory,15 to 19 years,Miscellaneous education,Certificate I,,10,5,-,-,-
Universities,Northern Territory,15 to 19 years,Year 9 or lower,Totals,,375,315,325,330,285
Universities,Northern Territory,15 to 19 years,Year 9 or lower,Certificate III,,40,30,40,30,35
Universities,Northern Territory,15 to 19 years,Year 9 or lower,Certificate II,,225,220,225,230,190
Universities,Northern Territory,15 to 19 years,Year 9 or lower,Certificate I,,110,65,60,60,60
Universities,Northern Territory,15 to 19 years,Year 9 or lower,Non-AQF level,,-,-,-,10,5
Universities,Northern Territory,15 to 19 years,Not known,Totals,,55,45,50,35,40
Universities,Northern Territory,15 to 19 years,Not known,Certificate III,,15,10,10,15,15
Universities,Northern Territory,15 to 19 years,Not known,Certificate II,,35,30,25,15,15
Universities,Northern Territory,15 to 19 years,Not known,Certificate I,,5,5,15,5,10
Universities,Offshore,Totals,,,,60,75,75,15,-
Universities,Offshore,15 to 19 years,Totals,,,60,75,75,15,-
Universities,Offshore,15 to 19 years,Not known,Totals,,55,75,75,15,-
Universities,Offshore,15 to 19 years,Not known,Advanced diploma,,55,75,75,15,-
Schools,Totals,,,,,"141,310","146,885","150,050","131,780","139,025"
Schools,New South Wales,Totals,,,,"49,250","51,255","49,715","49,005","48,175"
Schools,New South Wales,15 to 19 years,Totals,,,"49,250","51,255","49,715","49,005","48,175"
Schools,New South Wales,15 to 19 years,Certificate III,Totals,,115,140,135,120,145
Schools,New South Wales,15 to 19 years,Certificate III,Certificate III,,20,25,55,40,60
Schools,New South Wales,15 to 19 years,Certificate III,Certificate II,,90,115,80,80,75
Schools,New South Wales,15 to 19 years,Certificate III,Certificate I,,-,-,5,5,5
Schools,New South Wales,15 to 19 years,Year 12,Totals,,980,920,945,785,700
Schools,New South Wales,15 to 19 years,Year 12,Certificate III,,180,195,210,165,235
Schools,New South Wales,15 to 19 years,Year 12,Certificate II,,730,650,680,585,425
Schools,New South Wales,15 to 19 years,Year 12,Certificate I,,65,75,55,35,40
Schools,New South Wales,15 to 19 years,Year 11,Totals,,"18,770","18,765","18,495","18,620","16,330"
Schools,New South Wales,15 to 19 years,Year 11,Certificate III,,"3,625","3,475","4,150","3,885","5,415"
Schools,New South Wales,15 to 19 years,Year 11,Certificate II,,"14,260","14,410","13,720","14,205","10,450"
